be was/were been быть
have had had иметь
do did done делать
say said said говорить
go went gone идти
get got got/gotten получать
make made made делать/создавать
know knew known знать
think thought thought думать
take took taken брать
see saw seen видеть
come came come приходить
give gave given давать
find found found находить
tell told told рассказывать
become became become становиться
show showed shown показывать
leave left left покидать/оставлять
feel felt felt чувствовать
bring brought brought приносить
